n,k,t,lambda,mu,status,num_cayley,t_valid
6,2,1,0,1,known,20,10
6,3,2,1,2,known,20,10
8,3,2,1,1,known,175,60
8,4,3,1,3,known,175,60
10,4,2,1,2,known,252,88
10,5,3,2,3,known,252,88
12,3,1,0,1,known,825,252
12,8,6,5,6,known,825,252
12,4,2,0,2,known,1650,564
12,7,5,4,4,known,1650,564
12,5,3,2,2,known,2310,716
12,6,4,2,4,known,2310,716
14,5,4,1,2,impossible,2574,588
14,8,7,4,5,open,2574,588
14,6,3,2,3,known,3432,760
14,7,4,3,4,known,3432,760
15,4,2,1,1,known,1001,420
15,10,8,6,8,open,1001,420
15,5,2,1,2,known,2002,1120
15,9,6,5,6,open,2002,1120
16,6,3,1,3,impossible,70070,16544
16,9,6,5,5,open,70070,16544
16,7,4,3,3,known,90090,21424
16,8,5,3,5,known,90090,21424
16,7,5,4,2,known,90090,21544
16,8,6,2,6,known,90090,21544
18,4,3,0,1,known,11900,2266
18,13,12,9,10,open,11900,2266
18,5,3,2,1,known,30940,7584
18,12,10,7,10,known,30940,7584
18,6,3,0,3,known,61880,14072
18,11,8,7,6,known,61880,14072
18,7,5,2,3,known,97240,20844
18,10,8,5,6,open,97240,20844
18,8,4,3,4,known,121550,24192
18,9,5,4,5,known,121550,24192
18,8,5,4,3,known,121550,28560
18,9,6,3,6,known,121550,28560
20,4,1,0,1,known,19380,4440
20,15,12,11,12,known,19380,4440
20,7,4,3,2,known,251940,57960
20,12,9,6,9,known,251940,57960
20,8,4,2,4,known,377910,87040
20,11,7,6,6,known,377910,87040
20,9,5,4,4,known,461890,98112
20,10,6,4,6,known,461890,98112
21,6,2,1,2,known,77520,40320
21,14,10,9,10,known,77520,40320
21,8,4,3,3,known,251940,100800
21,12,8,6,8,known,251940,100800
22,9,6,3,4,known,587860,127760
22,12,9,6,7,open,587860,127760
22,10,5,4,5,known,705432,95424
22,11,6,5,6,known,705432,95424
24,5,2,1,1,known,504735,149888
24,18,15,13,15,open,504735,149888
24,6,2,0,2,known,1514205,411200
24,17,13,12,12,known,1514205,411200
24,7,3,2,2,known,3677355,750240
24,16,12,10,12,known,3677355,750240
24,8,4,0,4,known,7354710,1677920
24,15,11,10,8,known,7354710,1677920
24,8,3,2,3,known,7354710,1269824
24,15,10,9,10,open,7354710,1269824
24,9,7,2,4,known,12257850,1321072
24,14,12,8,8,open,12257850,1321072
24,10,5,3,5,open,17160990,3198240
24,13,8,7,7,open,17160990,3198240
24,10,8,4,4,known,17160990,1750344
24,13,11,6,8,open,17160990,1750344
24,11,6,5,5,known,20281170,3963264
24,12,7,5,7,known,20281170,3963264
24,11,7,6,4,known,20281170,3924960
24,12,8,4,8,known,20281170,3924960
24,11,8,7,3,known,20281170,3230640
24,12,9,3,9,known,20281170,3230640
25,9,6,5,2,open,2615008,295680
25,15,12,7,12,impossible,2615008,295680
25,10,6,1,6,impossible,3922512,887040
25,14,10,9,6,open,3922512,887040
26,11,7,4,5,known,8914800,1541760
26,14,10,7,8,open,8914800,1541760
26,12,6,5,6,known,10400600,1292544
26,13,7,6,7,known,10400600,1292544
27,7,4,1,2,open,3289000,514800
27,19,16,13,14,open,3289000,514800
27,8,4,3,2,known,7811375,2059200
27,18,14,11,14,known,7811375,2059200
27,9,4,1,4,impossible,15622750,5765760
27,17,12,11,10,open,15622750,5765760
27,10,6,3,4,known,26558675,4804800
27,16,12,9,10,open,26558675,4804800
27,11,6,5,4,open,38630800,11531520
27,15,10,7,10,open,38630800,11531520
27,12,8,2,8,impossible,48288500,7207200
27,14,10,9,5,open,48288500,7207200
